"","title","author","year","publication_title","abstract","doi","url","source","preregister","type_of_control","publication_type","study_num","mean_age","setting","country","intervention_type","prejudice_type","intervention_approach","intervention_length","intervention_span","light_touch","open_data","condition_name","control_name","outcome_type","measure_name","scale_direction","time_measurement","delay","n_treatment","n_treatment_clusters","n_control","n_control_clusters","effect_type","test_statistic","effect_direction","adjusted","sd_control","result_page","heterogenous","provide_all_stats","synergy","personalization","policy_attitude_measure","unique_paper_id"
"11","Mimicry reduces racial prejudice","Inzlicht, Michael; Gutsell, Jennifer N', 'Legault, Lisa', '","2012.0","Journal of Experimental Social Psychology","Humans are empathic animals. We automatically match other people's motor responses, allowing us to get “under the skin” of other people. Although this perception–action-coupling—a form of motor resonance—occurs spontaneously, this happens less readily with the outgroup (vs. the ingroup) and for those high (vs. low) in prejudice. Thus, prejudice diminishes our tendency to resonate with the outgroup. Here we suggest that the reverse is also possible—that resonating with the actions of an outgroup member can reduce prejudice. We predict, in other words, that explicitly mimicking the outgroup can reduce prejudice. Participants watched a 140-second video depicting actors repeatedly reaching for and drinking from a glass of water. They passively watched a video with Black actors; watched the video and mimicked the Black actors; or watched and mimicked a video with actors from their ingroup. Participants then completed the Affect Misattribution Procedure (Payne, Cheng, Govorun, & Stewart, 2005), a measure of implicit anti-Black prejudice, and an explicit symbolic racism measure. Results indicate that the outgroup-mimicry group had similar implicit preference for Blacks and Whites, unlike the other two groups, which preferred Whites over Blacks. The outgroup-mimicry group also reported less explicit racism towards Blacks than the ingroup-mimicry group, but no less than the ingroup-observation group. Mimicking specific outgroup members, therefore, reduces implicit, and possibly explicit, bias against the outgroup more generally","10.1016/j.jesp.2011.06.007","https://www.sciencedirect.com/science/article/pii/S0022103111001685","articles+","0.0","2","1.0","1.0","18.85","4","US","1","1","9","0:03","1 day","1","0","outgroup mimicry","outgroup observation","2","affect misattribution paradigm (AMP) (implicit preference for Blacks)","1.0","1.0","0.0","21","-","21","-","dim","0.12","1.0","0.0","0.21","362.0","0.0","1.0","0.0","0.0","0.0",6
"12","Mimicry reduces racial prejudice","Inzlicht, Michael; Gutsell, Jennifer N', 'Legault, Lisa', '","2012.0","Journal of Experimental Social Psychology","Humans are empathic animals. We automatically match other people's motor responses, allowing us to get “under the skin” of other people. Although this perception–action-coupling—a form of motor resonance—occurs spontaneously, this happens less readily with the outgroup (vs. the ingroup) and for those high (vs. low) in prejudice. Thus, prejudice diminishes our tendency to resonate with the outgroup. Here we suggest that the reverse is also possible—that resonating with the actions of an outgroup member can reduce prejudice. We predict, in other words, that explicitly mimicking the outgroup can reduce prejudice. Participants watched a 140-second video depicting actors repeatedly reaching for and drinking from a glass of water. They passively watched a video with Black actors; watched the video and mimicked the Black actors; or watched and mimicked a video with actors from their ingroup. Participants then completed the Affect Misattribution Procedure (Payne, Cheng, Govorun, & Stewart, 2005), a measure of implicit anti-Black prejudice, and an explicit symbolic racism measure. Results indicate that the outgroup-mimicry group had similar implicit preference for Blacks and Whites, unlike the other two groups, which preferred Whites over Blacks. The outgroup-mimicry group also reported less explicit racism towards Blacks than the ingroup-mimicry group, but no less than the ingroup-observation group. Mimicking specific outgroup members, therefore, reduces implicit, and possibly explicit, bias against the outgroup more generally","10.1016/j.jesp.2011.06.007","https://www.sciencedirect.com/science/article/pii/S0022103111001685","articles+","0.0","2","1.0","1.0","18.85","4","US","1","1","9","0:03","1 day","1","0","outgroup mimicry","outgroup observation","3","symbolic racism scale","-1.0","1.0","0.0","21","-","21","-","dim","-0.03","1.0","0.0","0.4","363.0","0.0","1.0","0.0","0.0","0.0",6
"13","Moving Beyond Measurement: Adapting Audit Studies to Test Bias-Reducing Interventions","Butler D.M., Crabtree C.","2017.0","Journal of Experimental Political Science",NA,"10.1017/XPS.2017.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032637062&doi=10.1017%2fXPS.2017.11&partnerID=40&md5=ffcb64f99f37fdc5e4236401e06561ec","Scopus","0.0","3","1.0","-","-","5, 6","US","2","1","14 (information)","0:05","1 day","1","0","received information","did not receive information","1","racial bias (difference in email response rate to Blacks v. Whites)","1.0","2.0","2 weeks","4004","-","3834","-","dim","-0.2","-1.0","0.0","1.6","62,1","0.0","1.0","0.0","0.0","0.0",7
"14","Moving Beyond Measurement: Adapting Audit Studies to Test Bias-Reducing Interventions","Butler D.M., Crabtree C.","2017.0","Journal of Experimental Political Science",NA,"10.1017/XPS.2017.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032637062&doi=10.1017%2fXPS.2017.11&partnerID=40&md5=ffcb64f99f37fdc5e4236401e06561ec","Scopus","0.0","3","1.0","-","-","5, 6","US","2","1","14 (information)","0:05","1 day","1","0","served with official who received information","did not receive information","1","racial bias (difference in email response rate to Blacks v. Whites)","1.0","2.0","2 weeks","3963","-","3834","-","dim","0.9","1.0","0.0","1.6","62,1","0.0","1.0","0.0","0.0","0.0",7
"15","what do you call a Black guy who flies a plane?: The effects and understanding of disparagement and confrontational racial humor","Saucier D.A., Strain M.L., Miller S.S., O'Dea C.J., Till D.F.","2018.0","Humor",NA,"10.1515/humor-2017-0107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040971065&doi=10.1515%2fhumor-2017-0107&partnerID=40&md5=b29481f84b45dec1405be0b63e644018","Scopus","0.0","2","1.0","1.0","31.1","6","US","1","5","3, 14 (humor)","0:01","1 day","1","0","confrontational humor","neutral humor condition","3","negative stereotypes","-1.0","1.0","0.0","50.0","-","50.0","-","dim","0.79","-1.0","0.0","0.49","113.0","0.0","1.0","0.0","0.0","0.0",8
"16","Virtually old: Embodied perspective taking and the reduction of ageism under threat","Oh S.Y., Bailenson J., Weisz E., Zaki J.","2016.0","Computers in Human Behavior",NA,"10.1016/j.chb.2016.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959543343&doi=10.1016%2fj.chb.2016.02.007&partnerID=40&md5=8bd8b7a1a38ecba0f27a596ac74dedff","Scopus","0.0","3","1.0","1.0","21.03","4","US","1","5","9","0:01","1 day","1","0","immersive virtual environment","no intervention","3","explict ageism","-1.0","1.0","0.0","48.0","-","50.0","-","dim","-0.04","1.0","0.0","0.6438167441","403 table1","0.0","1.0","0.0","1.0","0.0",9
"17","Virtually old: Embodied perspective taking and the reduction of ageism under threat","Oh S.Y., Bailenson J., Weisz E., Zaki J.","2016.0","Computers in Human Behavior",NA,"10.1016/j.chb.2016.02.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959543343&doi=10.1016%2fj.chb.2016.02.007&partnerID=40&md5=8bd8b7a1a38ecba0f27a596ac74dedff","Scopus","0.0","3","1.0","1.0","21.03","4","US","1","5","9","0:01","1 day","1","0","immersive virtual environment","no intervention","3","self-other overlap","1.0","1.0","0.0","48.0","-","50.0","-","dim","0.545","1.0","0.0","1.057662517","403 table1","0.0","1.0","0.0","1.0","0.0",9
"18","Virtually old: Embodied perspective taking and the reduction of ageism under threat","Oh S.Y., Bailenson J., Weisz E., Zaki J.","2016.0","Computers in Human Behavior",NA,"10.1016/j.chb.2016.02.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959543343&doi=10.1016%2fj.chb.2016.02.007&partnerID=40&md5=8bd8b7a1a38ecba0f27a596ac74dedff","Scopus","0.0","3","1.0","1.0","21.03","4","US","1","5","9","0:01","1 day","1","0","immersive virtual environment","no intervention","8","future communication intention","1.0","1.0","0.0","48.0","-","50.0","-","dim","0.03","1.0","0.0","0.9504735662","403 table1","0.0","1.0","0.0","1.0","0.0",9
"19","Virtually old: Embodied perspective taking and the reduction of ageism under threat","Oh S.Y., Bailenson J., Weisz E., Zaki J.","2016.0","Computers in Human Behavior",NA,"10.1016/j.chb.2016.02.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959543343&doi=10.1016%2fj.chb.2016.02.007&partnerID=40&md5=8bd8b7a1a38ecba0f27a596ac74dedff","Scopus","0.0","3","1.0","1.0","21.03","4","US","1","5","9","0:01","1 day","1","0","mental simulation","no intervention","3","explict ageism","-1.0","1.0","0.0","50.0","-","50.0","-","dim","0.08","-1.0","0.0","0.6438167441","403 table1","0.0","1.0","0.0","1.0","0.0",9
"20","Virtually old: Embodied perspective taking and the reduction of ageism under threat","Oh S.Y., Bailenson J., Weisz E., Zaki J.","2016.0","Computers in Human Behavior",NA,"10.1016/j.chb.2016.02.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959543343&doi=10.1016%2fj.chb.2016.02.007&partnerID=40&md5=8bd8b7a1a38ecba0f27a596ac74dedff","Scopus","0.0","3","1.0","1.0","21.03","4","US","1","5","9","0:01","1 day","1","0","mental simulation","no intervention","3","self-other overlap","1.0","1.0","0.0","50.0","-","50.0","-","dim","0.46","1.0","0.0","1.057662517","403 table1","0.0","1.0","0.0","1.0","0.0",9
"21","Virtually old: Embodied perspective taking and the reduction of ageism under threat","Oh S.Y., Bailenson J., Weisz E., Zaki J.","2016.0","Computers in Human Behavior",NA,"10.1016/j.chb.2016.02.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959543343&doi=10.1016%2fj.chb.2016.02.007&partnerID=40&md5=8bd8b7a1a38ecba0f27a596ac74dedff","Scopus","0.0","3","1.0","1.0","21.03","4","US","1","5","9","0:01","1 day","1","0","mental simulation","no intervention","8","future communication intention","1.0","1.0","0.0","50.0","-","50.0","-","dim","-0.21","-1.0","0.0","0.9504735662","403 table1","0.0","1.0","0.0","1.0","0.0",9
"22","Effects of competing news media frames of weight on antifat stigma, beliefs about weight and support for obesity-related public policies.","Frederick, D. A.; Saguy, A. C.; Sandhu, G.; Mann, T.","2016.0","International Journal of Obesity",NA,"10.1038/ijo.2015.195","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-14987-001&site=ehost-live","PsycINFO","0.0","2","1.0","3.0","37.2","9","US","3","7","11","0:03","1 day","0","0","read fat-positive article","no articles","3","antifat attitudes","-1.0","1.0","0.0","272.0","-","286.0","-","d","-0.2","1.0","0.0","-","547.0","0.0","0.0","1.0","0.0","1.0",10
"23","Effects of competing news media frames of weight on antifat stigma, beliefs about weight and support for obesity-related public policies.","Frederick, D. A.; Saguy, A. C.; Sandhu, G.; Mann, T.","2016.0","International Journal of Obesity",NA,"10.1038/ijo.2015.196","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-14987-001&site=ehost-live","PsycINFO","0.0","2","1.0","3.0","37.2","9","US","3","7","11","0:03","1 day","0","0","read fat-positive article","no articles","3","workplace prejudice","-1.0","1.0","0.0","272.0","-","286.0","-","d","-0.24","1.0","0.0","-","547.0","0.0","0.0","1.0","0.0","1.0",10
"24","Effects of competing news media frames of weight on antifat stigma, beliefs about weight and support for obesity-related public policies.","Frederick, D. A.; Saguy, A. C.; Sandhu, G.; Mann, T.","2016.0","International Journal of Obesity",NA,"10.1038/ijo.2015.197","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-14987-001&site=ehost-live","PsycINFO","0.0","2","1.0","3.0","37.2","9","US","3","7","11","0:03","1 day","0","0","read fat-positive article","no articles","3","celebrate body size diversity","1.0","1.0","0.0","272.0","-","286.0","-","d","0.37","1.0","0.0","-","547.0","0.0","0.0","1.0","0.0","1.0",10
"25","Clinical trial of second step middle school program: Impact on bullying, cyberbullying, homophobic teasing, and sexual harassment perpetration","Espelage D.L., Low S., Van Ryzin M.J., Polanin J.R.","2015.0","School Psychology Review","Social-emotional learning programs are increasingly being implemented in U.S. schools to address a wide range of problematic behaviors (e.g., bullying, delinquency) and to promote academic success. The current study examined the direct and indirect impact of the Second Step Middle School Program (Committee for Children, 2008) on bullying, cyberbullying, homophobic name-calling, and sexual harassment perpetration over the course of a 3-year randomized clinical trial. Delinquency was examined as an intervening variable between treatment condition and aggression outcomes. Thirty-six schools in Kansas and Illinois were assigned to either a Second Step condition or a control condition, and 3,651 sixth-grade students completed self-reported surveys at four time points across 3 years. Students in the Second Step condition received a total of 41 lessons across the 3-year study. No direct intervention effects were found for multiple forms of aggression perpetration at the end of 3 years. However, as hypothesized, decreases in self-reported delinquency (intervening variable) over the first 2 years were significantly related to decreases in bullying, cyberbullying, and homophobic name-calling perpetration for Second Step schools across the 3-year study. Indirect effects of the Second Step program on bullying and aggressive behavior were statistically significant through reductions of delinquency. Copyright 2015 by the National Association of School Psychologists.","10.17105/spr-15-0052.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976870749&doi=10.17105%2fspr-15-0052.1&partnerID=40&md5=3ad7ce7bb09d954bb78973979aaeaa59","Scopus","0.0","2","1.0","-","11","3","US","2","6","11","34:00","36 months","0","0","Second Step Curriculum","minimal intervention programming","3","homophobic name-calling perpetration","-1.0","2.0","1 month","1941.0","18.0","1710.0","18.0","reg.coef","0.023","1.0","0.0","1.08514423","474 table 3 (SD taken from p. 473 table 1 column 10","0.0","1.0","0.0","0.0","0.0",11
"26","The effect of counterexemplars and victim expectations on crime perceptions and hostile attitudes toward racial minorities","Waddell, F. T.","2017.0","International Journal of Communication","Heavy consumers of crime news are more likely to hold negative attitudes and stereotyped expectations of racial minorities. Attempts to reduce stereotyping with counterexemplars that portray racial minorities in a positive light have yielded mixed results. Do prior crime expectations or frequency of crime news exposure moderate the efficacy of counter-exemplar interventions? An experiment (N = 240) was conducted to test this question using a 2 (exemplar typicality: atypical victim vs. no victim control) √ó 2 (victim expectations: White vs. Black) between-subjects design. Results revealed that counterexemplars that conflicted with viewers' preexisting victim expectations decreased hostile attitudes among light consumers of crime news, but increased racial stereotyping among heavy news consumers. The theoretical and practical implications of these findings for media psychology are discussed. ¬© 2017 T. Franklin Waddell.",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048012831&partnerID=40&md5=f3068aa87ee7147002a13c466c3c491c","Scopus","0.0","2","1.0","-","38.95","9","US","3","1","9","0:03","1 day","1","0","exemplar exposure","no-exemplar control","3","Hostile Attitudes Toward Blacks","-1.0","1.0","0.0","120.0","-","120","-","dim","-0.2","1.0","0.0","1.396424004","2680, table2","1.0","0.0","0.0","1.0","0.0",12
